"Tr A(WL),""Tr A(LEVEL)[LOG]"",""Tr B(WL)"",""Tr B(LEVEL)[LOG]"",""Tr C(WL)"",""Tr C(LEVEL)[LOG]"",""Tr D(WL)"",""Tr D(LEVEL)[LOG]"",""Tr E(WL)"",""Tr E(LEVEL)[LOG]"",""Tr F(WL)"",""Tr F(LEVEL)[LOG]"",""Tr G(WL)"",""Tr G(LEVEL)[LOG]"""
 732.2000, -68.477,  732.2000, -91.062,  , ,  , ,  , ,  , ,  , 
 732.4000, -68.489,  732.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 732.6000, -68.533,  732.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 732.8000, -68.603,  732.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 733.0000, -68.669,  733.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 733.2000, -68.642,  733.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 733.4000, -68.580,  733.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 733.6000, -68.616,  733.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 733.8000, -68.642,  733.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 734.0000, -68.595,  734.0000, -90.718,  , ,  , ,  , ,  , ,  , 
 734.2000, -68.563,  734.2000, -85.527,  , ,  , ,  , ,  , ,  , 
 734.4000, -68.534,  734.4000, -83.462,  , ,  , ,  , ,  , ,  , 
 734.6000, -68.484,  734.6000, -82.687,  , ,  , ,  , ,  , ,  , 
 734.8000, -68.419,  734.8000, -81.378,  , ,  , ,  , ,  , ,  , 
 735.0000, -68.381,  735.0000, -81.161,  , ,  , ,  , ,  , ,  , 
 735.2000, -68.409,  735.2000, -82.943,  , ,  , ,  , ,  , ,  , 
 735.4000, -68.429,  735.4000, -84.458,  , ,  , ,  , ,  , ,  , 
 735.6000, -68.387,  735.6000, -84.485,  , ,  , ,  , ,  , ,  , 
 735.8000, -68.364,  735.8000, -84.347,  , ,  , ,  , ,  , ,  , 
 736.0000, -68.415,  736.0000, -85.676,  , ,  , ,  , ,  , ,  , 
 736.2000, -68.462,  736.2000, -93.281,  , ,  , ,  , ,  , ,  , 
 736.4000, -68.495,  736.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 736.6000, -68.525,  736.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 736.8000, -68.545,  736.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 737.0000, -68.541,  737.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 737.2000, -68.504,  737.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 737.4000, -68.483,  737.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 737.6000, -68.487,  737.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 737.8000, -68.457,  737.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 738.0000, -68.402,  738.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 738.2000, -68.390,  738.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 738.4000, -68.349,  738.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 738.6000, -68.312,  738.6000, -87.975,  , ,  , ,  , ,  , ,  , 
 738.8000, -68.336,  738.8000, -85.169,  , ,  , ,  , ,  , ,  , 
 739.0000, -68.369,  739.0000, -84.359,  , ,  , ,  , ,  , ,  , 
 739.2000, -68.352,  739.2000, -84.238,  , ,  , ,  , ,  , ,  , 
 739.4000, -68.305,  739.4000, -83.901,  , ,  , ,  , ,  , ,  , 
 739.6000, -68.286,  739.6000, -85.396,  , ,  , ,  , ,  , ,  , 
 739.8000, -68.318,  739.8000, -88.131,  , ,  , ,  , ,  , ,  , 
 740.0000, -68.342,  740.0000, -89.257,  , ,  , ,  , ,  , ,  , 
 740.2000, -68.342,  740.2000, -90.092,  , ,  , ,  , ,  , ,  , 
 740.4000, -68.394,  740.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 740.6000, -68.430,  740.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 740.8000, -68.429,  740.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 741.0000, -68.427,  741.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 741.2000, -68.465,  741.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 741.4000, -68.511,  741.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 741.6000, -68.515,  741.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 741.8000, -68.523,  741.8000, -92.686,  , ,  , ,  , ,  , ,  , 
 742.0000, -68.524,  742.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 742.2000, -68.511,  742.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 742.4000, -68.502,  742.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 742.6000, -68.478,  742.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 742.8000, -68.433,  742.8000, -91.651,  , ,  , ,  , ,  , ,  , 
 743.0000, -68.415,  743.0000, -89.135,  , ,  , ,  , ,  , ,  , 
 743.2000, -68.415,  743.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 743.4000, -68.408,  743.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 743.6000, -68.423,  743.6000,-210.000,  , ,  , ,  , ,  , ,  , 
